mission_id,data,local,inicio,fim,timestamp,lat,lon,ph,oxigenio_dissolvido,temperatura,turbidez,salinidade,mono_p,multi_p,camera_r,camera_v
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:30:00,-22.926680,-43.119095,7.39,4.87,24.6,3.7,29.1,26,,ALERTA,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:32:30,-22.927020,-43.117716,7.26,4.75,23.7,5.2,29.1,16,,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:35:00,-22.927020,-43.117116,7.76,5.65,22.2,8.3,28.1,22,,ALERTA,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:37:30,-22.927020,-43.116517,8.03,5.12,22.6,4.1,28.6,36,2,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:40:00,-22.927020,-43.115917,7.70,5.75,23.5,7.9,28.1,16,2,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:42:30,-22.927020,-43.115317,7.82,5.37,23.3,8.3,28.9,24,2,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:45:00,-22.927020,-43.114718,7.84,5.04,24.3,7.7,29.8,38,7,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:47:30,-22.927020,-43.114118,7.73,4.73,24.0,4.5,28.7,30,7,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:50:00,-22.927020,-43.113519,8.15,4.74,24.2,10.1,29.6,25,5,ALERTA,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:52:30,-22.927020,-43.112919,7.60,6.03,22.3,3.8,28.5,37,,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:55:00,-22.927020,-43.112320,7.88,5.16,24.3,9.1,28.9,37,7,ALERTA,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 06:57:30,-22.927020,-43.111720,7.42,6.29,23.4,8.5,29.0,21,5,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:00:00,-22.927020,-43.111120,7.89,5.32,25.7,7.5,28.3,27,5,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:02:30,-22.927020,-43.110521,7.98,6.16,23.1,6.7,28.7,27,2,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:05:00,-22.927020,-43.109921,7.10,4.87,24.6,3.1,29.7,20,5,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:07:30,-22.927020,-43.109322,7.00,5.35,23.5,8.1,29.9,37,,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:10:00,-22.927020,-43.108722,8.08,6.00,25.5,10.2,28.8,27,7,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:12:30,-22.927020,-43.108123,7.58,5.32,22.8,11.9,28.9,18,5,ALERTA,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:15:00,-22.927020,-43.107523,7.06,4.60,22.6,3.9,28.7,15,,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:17:30,-22.927020,-43.106924,7.74,4.87,23.0,6.1,28.7,18,,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:20:00,-22.927020,-43.106324,8.19,5.44,23.9,3.8,28.2,25,5,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:22:30,-22.927020,-43.105724,7.99,4.89,22.1,11.6,29.1,19,,ALERTA,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:25:00,-22.927020,-43.105125,7.36,5.76,22.4,10.6,29.0,20,5,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:27:30,-22.927020,-43.104525,7.64,6.00,23.3,5.0,29.6,39,2,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:30:00,-22.927429,-43.104335,7.98,5.93,22.9,7.7,28.7,15,,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:32:30,-22.927937,-43.104427,7.57,4.95,24.4,6.1,29.6,38,5,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:35:00,-22.927937,-43.105027,7.10,4.78,23.9,6.0,29.0,34,,,OK
OP-20260511,2026-05-11,"Enseada de Jurujuba, Niterói/RJ",6:30,11:30,2026-05-11 07:37:30,-22.927937,-43.105626,8.09,5.22,24.6,10.5,28.2,27,2,,OK
